4.510E+01 1.700E+14
2.120E+02 5.820E+15
1.150E+03 1.900E+17
1.044E+04 9.744E+18
2.622E+04 4.968E+19
6.587E+04 2.431E+20
1.654E+05 1.151E+21
4.156E+05 5.266E+21
1.044E+06 2.318E+22
2.622E+06 9.755E+22
6.588E+06 3.911E+23
8.293E+06 5.259E+23
1.655E+07 1.435E+24
3.302E+07 3.833E+24
6.592E+07 1.006E+25
1.315E+08 2.604E+25
2.625E+08 6.676E+25
3.305E+08 8.738E+25
5.239E+08 1.629E+26
8.303E+08 3.029E+26
1.046E+09 4.129E+26
1.606E+09 6.860E+26
2.545E+09 1.272E+27
4.166E+09 2.356E+27
6.606E+09 4.362E+27
8.031E+09 5.662E+27
1.011E+10 7.702E+27
1.319E+10 1.048E+28
1.661E+10 1.425E+28
2.091E+10 1.938E+28
2.533E+10 2.503E+28
3.315E+10 3.404E+28
4.174E+10 4.628E+28
4.652E+10 5.367E+28
6.347E+10 7.913E+28
8.444E+10 1.127E+29
1.100E+11 1.561E+29
1.408E+11 2.109E+29
1.774E+11 2.790E+29
2.207E+11 3.625E+29
2.714E+11 4.635E+29
2.825E+11 4.859E+29
2.940E+11 5.093E+29
3.058E+11 5.334E+29
3.180E+11 5.584E+29
3.305E+11 5.843E+29
