r,m,phi,p
8.656000000000642,1.8563114032815875,5.462354574801581,0.0000007105708394870979
8.657000000000641,1.85635785890399,5.462398086146377,0.0000007083934008784188
8.65800000000064,1.8564042529371034,5.462441585200489,0.0000007062200120622433
8.65900000000064,1.856450585375486,5.462485071967396,0.0000007040506695140294
8.66000000000064,1.856496856213697,5.462528546450573,0.0000007018853697120036
8.661000000000639,1.8565430654462967,5.462572008653494,0.0000006997241091371589
8.662000000000639,1.8565892130678465,5.462615458579633,0.0000006975668842732523
8.663000000000638,1.8566352990729091,5.462658896232464,0.0000006954136916068028
8.664000000000637,1.8566813234560482,5.462702321615455,0.0000006932645276270887
8.665000000000637,1.8567272862118285,5.462745734732078,0.0000006911193888261458
8.666000000000636,1.8567731873348159,5.4627891355858,0.0000006889782716987646
8.667000000000636,1.8568190268195772,5.46283252418009,0.0000006868411727424886
8.668000000000635,1.8568648046606806,5.462875900518414,0.0000006847080884576116
8.669000000000635,1.856910520852695,5.462919264604237,0.0000006825790153471754
8.670000000000634,1.856956175390191,5.462962616441022,0.0000006804539499169681
8.671000000000634,1.8570017682677398,5.463005956032232,0.0000006783328886755211
8.672000000000633,1.8570472994799139,5.463049283381329,0.0000006762158281341072
8.673000000000632,1.8570927690212868,5.463092598491773,0.0000006741027648067385
8.674000000000632,1.8571381768864332,5.463135901367023,0.0000006719936952101638
8.675000000000631,1.8571835230699287,5.4631791920105375,0.0000006698886158638664
8.67600000000063,1.8572288075663503,5.463222470425772,0.0000006677875232900621
8.67700000000063,1.8572740303702762,5.463265736616183,0.0000006656904140136968
8.67800000000063,1.857319191476285,5.463308990585225,0.0000006635972845624442
8.679000000000629,1.8573642908789572,5.463352232336351,0.0000006615081314667033
8.680000000000629,1.857409328572874,5.463395461873011,0.0000006594229512595968
8.681000000000628,1.857454304552618,5.463438679198658,0.0000006573417404769683
8.682000000000627,1.8574992188127721,5.463481884316741,0.0000006552644956573804
8.683000000000627,1.8575440713479214,5.463525077230709,0.0000006531912133421122
8.684000000000626,1.8575888621526515,5.463568257944007,0.0000006511218900751571
8.685000000000626,1.8576335912215491,5.463611426460083,0.0000006490565224032207
8.686000000000625,1.857678258549202,5.46365458278238,0.0000006469951068757184
8.687000000000625,1.8577228641301993,5.463697726914343,0.0000006449376400447733
8.688000000000624,1.857767407959131,5.463740858859413,0.0000006428841184652141
8.689000000000624,1.8578118900305887,5.463783978621033,0.0000006408345386945724
8.690000000000623,1.857856310339164,5.463827086202643,0.0000006387888972930809
8.691000000000622,1.857900668879451,5.46387018160768,0.0000006367471908236711
8.692000000000622,1.8579449656460438,5.463913264839583,0.0000006347094158519708
8.693000000000621,1.8579892006335381,5.463956335901788,0.0000006326755689463023
8.69400000000062,1.8580333738365307,5.46399939479773,0.00000063064564667768
8.69500000000062,1.8580774852496194,5.464042441530843,0.0000006286196456198079
