r,m,phi,p
7.079000000000699,1.0692890067770742,0.15898880277649738,0.000012744042183027889
7.080000000000699,1.0695218529714867,0.15902098904873496,0.000012731738044251586
7.081000000000699,1.0697546485567146,0.1590531730668495,0.000012719441105838902
7.0820000000007,1.0699873934919704,0.15908535482866,0.000012707151366703616
7.0830000000007,1.0702200877364714,0.15911753433198608,0.000012694868825757982
7.0840000000007,1.0704527312494403,0.15914971157464777,0.000012682593481912733
7.085000000000701,1.0706853239901049,0.15918188655446563,0.000012670325334077082
7.086000000000701,1.0709178659176983,0.15921405926926072,0.000012658064381158722
7.087000000000701,1.0711503569914589,0.15924622971685456,0.000012645810622063826
7.088000000000702,1.07138279717063,0.1592783978950692,0.00001263356405569705
7.089000000000702,1.0716151864144603,0.1593105638017272,0.000012621324680961531
7.090000000000702,1.0718475246822037,0.15934272743465155,0.000012609092496758892
7.091000000000703,1.0720798119331194,0.15937488879166584,0.000012596867501989239
7.092000000000703,1.0723120481264719,0.15940704787059404,0.000012584649695551166
7.093000000000703,1.0725442332215307,0.1594392046692607,0.000012572439076341752
7.094000000000704,1.072776367177571,0.15947135918549088,0.000012560235643256564
7.095000000000704,1.0730084499538726,0.15950351141711006,0.000012548039395189658
7.096000000000704,1.073240481509721,0.15953566136194428,0.000012535850331033579
7.097000000000705,1.073472461804407,0.15956780901782008,0.000012523668449679364
7.098000000000705,1.0737043907972266,0.15959995438256447,0.000012511493750016539
7.099000000000705,1.073936268447481,0.159632097454005,0.000012499326230933123
7.100000000000706,1.0741680947144767,0.15966423822996967,0.00001248716589131563
7.101000000000706,1.0743998695575259,0.159696376708287,0.000012475012730049069
7.102000000000706,1.0746315929359456,0.15972851288678608,0.000012462866746016939
7.103000000000707,1.0748632648090581,0.1597606467632964,0.00001245072793810124
7.104000000000707,1.0750948851361914,0.159792778335648,0.000012438596305182468
7.105000000000707,1.0753264538766787,0.15982490760167145,0.000012426471846139617
7.106000000000708,1.0755579709898584,0.15985703455919778,0.000012414354559850177
7.107000000000708,1.0757894364350744,0.15988915920605853,0.000012402244445190144
7.108000000000708,1.076020850171676,0.15992128154008578,0.00001239014150103401
7.109000000000709,1.0762522121590175,0.15995340155911209,0.000012378045726254772
7.110000000000709,1.0764835223564588,0.1599855192609705,0.000012365957119723927
7.111000000000709,1.0767147807233655,0.16001763464349458,0.000012353875680311475
7.11200000000071,1.0769459872191078,0.16004974770451846,0.000012341801406885926
7.11300000000071,1.0771771418030622,0.1600818584418767,0.00001232973429831429
7.11400000000071,1.0774082444346098,0.16011396685340437,0.000012317674353462088
7.115000000000711,1.0776392950731375,0.1601460729369371,0.000012305621571193345
7.116000000000711,1.0778702936780375,0.160178176690311,0.000012293575950370596
7.117000000000711,1.0781012402087076,0.16021027811136268,0.000012281537489854885
7.118000000000712,1.0783321346245507,0.16024237719792928,0.000012269506188505768
7.119000000000712,1.0785629768849754,0.16027447394784844,0.000012257482045181312
7.120000000000712,1.0787937669493954,0.1603065683589583,0.000012245465058738093
7.121000000000713,1.0790245047772302,0.1603386604290975,0.000012233455228031206
7.122000000000713,1.0792551903279046,0.16037075015610527,0.000012221452551914254
7.123000000000713,1.0794858235608489,0.16040283753782125,0.000012209457029239362
7.124000000000714,1.0797164044354985,0.16043492257208564,0.000012197468658857164
7.125000000000714,1.079946932911295,0.16046700525673915,0.000012185487439616815
7.126000000000714,1.0801774089476848,0.160499085589623,0.00001217351337036599
7.127000000000715,1.08040783250412,0.16053116356857894,0.000012161546449950879
7.128000000000715,1.0806382035400584,0.1605632391914492,0.000012149586677216194
7.129000000000715,1.080868522014963,0.1605953124560765,0.000012137634051005166
7.130000000000716,1.0810987878883023,0.1606273833603042,0.000012125688570159551
7.131000000000716,1.0813290011195504,0.16065945190197603,0.000012113750233519625
7.132000000000716,1.0815591616681872,0.1606915180789363,0.000012101819039924192
7.133000000000717,1.0817892694936975,0.16072358188902985,0.000012089894988210574
7.134000000000717,1.082019324555572,0.16075564333010203,0.000012077978077214626
7.135000000000717,1.082249326813307,0.16078770239999868,0.000012066068305770724
7.136000000000718,1.0824792762264044,0.16081975909656615,0.000012054165672711774
7.137000000000718,1.0827091727543712,0.16085181341765134,0.000012042270176869212
7.138000000000718,1.0829390163567203,0.16088386536110166,0.000012030381817073
7.139000000000719,1.0831688069929701,0.16091591492476506,0.000012018500592151633
7.140000000000719,1.0833985446226446,0.16094796210648996,0.00001200662650093214
7.141000000000719,1.0836282292052732,0.16098000690412534,0.000011994759542240076
7.14200000000072,1.0838578607003913,0.16101204931552066,0.000011982899714899535
7.14300000000072,1.0840874390675392,0.16104408933852593,0.000011971047017733143
7.14400000000072,1.0843169642662636,0.1610761269709917,0.00001195920144956206
7.145000000000721,1.0845464362561161,0.16110816221076898,0.000011947363009205987
7.146000000000721,1.0847758549966542,0.16114019505570937,0.000011935531695483157
7.147000000000721,1.085005220447441,0.16117222550366495,0.000011923707507210344
7.148000000000722,1.0852345325680453,0.16120425355248832,0.00001191189044320286
7.149000000000722,1.0854637913180414,0.16123627920003264,0.00001190008050227456
7.1500000000007224,1.0856929966570095,0.16126830244415152,0.000011888277683237834
7.151000000000723,1.085922148544535,0.1613003232826992,0.000011876481984903621
7.152000000000723,1.086151246940209,0.16133234171353034,0.0000118646934060814
7.1530000000007234,1.0863802918036287,0.16136435773450017,0.000011852911945579196
7.154000000000724,1.0866092830943967,0.16139637134346446,0.000011841137602203575
7.155000000000724,1.0868382207721212,0.16142838253827949,0.00001182937037475965
7.1560000000007244,1.087067104796416,0.16146039131680207,0.000011817610262051083
7.157000000000725,1.0872959351269007,0.16149239767688953,0.000011805857262880084
7.158000000000725,1.0875247117232005,0.16152440161639972,0.00001179411137604741
7.1590000000007254,1.0877534345449467,0.16155640313319103,0.00001178237260035237
7.160000000000726,1.0879821035517756,0.16158840222512239,0.000011770640934592821
7.161000000000726,1.0882107187033299,0.16162039889005322,0.000011758916377565174
7.1620000000007265,1.0884392799592575,0.1616523931258435,0.000011747198928064391
7.163000000000727,1.0886677872792123,0.16168438493035373,0.00001173548858488399
7.164000000000727,1.0888962406228537,0.16171637430144492,0.000011723785346816043
7.1650000000007275,1.089124639949847,0.16174836123697864,0.000011712089212651175
7.166000000000728,1.0893529852198636,0.16178034573481698,0.000011700400181178571
7.167000000000728,1.0895812763925796,0.16181232779282254,0.000011688718251185972
