r,m,phi,p
0,0,0,0.16000000000000003
0.001,0.00000000234571398732045,0.000002324780334926553,0.15999832616248225
0.002,0.000000018765488374373663,0.000009069662822055765,0.15999346993916794
0.003,0.00000006333223523597927,0.000020308530080813495,0.1599853783586474
0.004,0.00000015011663406484243,0.000035969903033419316,0.15997410324311073
0.005,0.00000029318606447441787,0.000056025219279795764,0.1599596656478674
0.006,0.0000005066035405894012,0.0000804606524952604,0.15994207615144537
0.007,0.0000008044266467087018,0.00010926844733630436,0.15992134109440195
0.008,0.0000012007064739094522,0.00014244374717159783,0.15989746486326142
0.009000000000000001,0.00000170948655750725,0.00017998323119737216,0.15987045087167834
0.010000000000000002,0.0000023448018153811834,0.00022188445446070295,0.15984030203549482
0.011000000000000003,0.0000031206774872129824,0.0002681454978842996,0.1598070210245849
0.012000000000000004,0.0000040511280747096985,0.0003187647690524407,0.15977061040613882
0.013000000000000005,0.000005150156282890058,0.0003737408821949702,0.15973107273091214
0.014000000000000005,0.000006431751962520807,0.0004330725824493706,0.1596884105875819
0.015000000000000006,0.000007909891053793066,0.0004967586961810616,0.15964262663832762
0.016000000000000007,0.000009598534531331014,0.0005647980973128597,0.15959372364287228
0.017000000000000008,0.000011511627350626714,0.0006371896838557693,0.15954170447516483
0.01800000000000001,0.000013663097395995802,0.0007139323611477716,0.1594865721352192
0.01900000000000001,0.000016066854430149417,0.000795025029625689,0.15942832975767576
0.02000000000000001,0.000018736789045478063,0.0008804665757346699,0.15936698061808993
0.02100000000000001,0.00002168677161714335,0.0009702558650559227,0.1593025281376097
0.022000000000000013,0.000024930651258073654,0.001064391737032584,0.1592349758864886
0.023000000000000013,0.000028482254775959674,0.001162873000866587,0.15916432758674182
0.024000000000000014,0.00003235538563234595,0.001265698432286716,0.15909058711416094
0.025000000000000015,0.000036563822903914155,0.0013728667709737889,0.1590137584998419
0.026000000000000016,0.00004112132024605385,0.0014843767184877497,0.15893384593133753
0.027000000000000017,0.00004604160485881634,0.0016002269365825248,0.15885085375351707
0.028000000000000018,0.00005133837645534685,0.0017204160458236027,0.15876478646919406
0.02900000000000002,0.00005702530623289018,0.0018449426244442303,0.1586756487395684
0.03000000000000002,0.00006311603584646459,0.001973805207391363,0.15858344538451813
0.03100000000000002,0.00006962417638529858,0.0021070022855237476,0.15848818138276793
0.03200000000000002,0.00007656330735212467,0.0022445323049328954,0.15838986187195542
0.03300000000000002,0.00008394697564542424,0.0023863936663640222,0.15828849214861182
0.03400000000000002,0.00009178869454471697,0.002532584724718833,0.15818407766807005
0.035000000000000024,0.00010010194269898812,0.002683103788625712,0.1580766240443107
0.036000000000000025,0.0001089001631183467,0.0028379491200657414,0.1579661370497543
0.037000000000000026,0.00011819676216900688,0.0029971189340451945,0.15785262261500657
0.03800000000000003,0.00012800510857168486,0.0031606113983069016,0.15773608682856236
0.03900000000000003,0.00013833853240350304,0.0033284246330742722,0.15761653593647246
0.04000000000000003,0.00014921032410349273,0.0035005567108228656,0.1574939763419775
0.04100000000000003,0.00016063373348178633,0.0036770056560752823,0.15736841460511156
0.04200000000000003,0.0001726219687325896,0.00385776944521587,0.15723985744227828
0.04300000000000003,0.00018518819545102378,0.004042846006322314,0.15710831172580186
0.04400000000000003,0.00019834553565392763,0.00423223321901166,0.1569737844834542
0.04500000000000003,0.00021210706680470799,0.004425928914298686,0.1568362828979603
0.046000000000000034,0.00022648582084232785,0.004623930874464906,0.15669581430648305
0.047000000000000035,0.00024149478321452007,0.004826236832936679,0.15655238620008827
0.048000000000000036,0.00025714689191531426,0.005032844474171201,0.15640600622319142
0.04900000000000004,0.00027345503652696405,0.005243751433549266,0.15625668217298655
0.05000000000000004,0.0002904320572663615,0.005458955297273891,0.15610442199885824
0.05100000000000004,0.0003080907440360246,0.005678453602273993,0.15594923380177717
0.05200000000000004,0.0003264438354797435,0.005902243836112437,0.15579112583368013
0.05300000000000004,0.00034550401804297055,0.0061303234368978565,0.1556301064968345
0.05400000000000004,0.0003652839250380384,0.0063626897931997285,0.15546618434318815
0.05500000000000004,0.00038579613571429033,0.006599340243966252,0.1552993680737047
0.05600000000000004,0.00040705317433320585,0.006840272078444639,0.15512966653768492
0.057000000000000044,0.0004290675092486047,0.007085482536103473,0.15495708873207417
0.058000000000000045,0.0004518515519920107,0.00733496880655683,0.15478164380075662
0.059000000000000045,0.00047541765636325775,0.007588728029489905,0.15460334103383608
0.060000000000000046,0.0004997781175264183,0.007846757294585907,0.15442218986690404
0.06100000000000005,0.0005249451711111346,0.00810905364145401,0.15423819988029489
0.06200000000000005,0.000550930992319433,0.008375614059558188,0.15405138079832875
0.06300000000000004,0.0005777476950380996,0.00864643548814678,0.15386174248854192
0.06400000000000004,0.0006054073309566957,0.008921514816182608,0.15366929496090526
0.06500000000000004,0.0006339218886912907,0.009200848882273571,0.15347404836703055
0.06600000000000004,0.00066330329291399,0.009484434474603561,0.15327601299936525
0.06700000000000005,0.0006935634034883342,0.00977226833086362,0.1530751992903754
0.06800000000000005,0.0007247140146106435,0.010064347138183249,0.1528716178117174
0.06900000000000005,0.0007567668539573851,0.01036066753306178,0.15266527927339807
0.07000000000000005,0.0007897335818386356,0.010661226101299746,0.1524561945229239
0.07100000000000005,0.0008236257903577127,0.010966019377930191,0.15224437454443904
0.07200000000000005,0.0008584550025770495,0.011275043847149847,0.15202983045785248
0.07300000000000005,0.0008942326716903825,0.011588295942250141,0.15181257351795446
0.07400000000000005,0.0009309701802013251,0.011905772045547984,0.1515926151135222
0.07500000000000005,0.000968678839108398,0.012227468488316297,0.15136996676641515
0.07600000000000005,0.0010073698870965845,0.01255338155071424,0.15114464013065973
0.07700000000000005,0.001047054489735481,0.012883507461717111,0.15091664699152407
0.07800000000000006,0.0010877437386841125,0.013217842399045887,0.1506859992645823
0.07900000000000006,0.0011294486509024766,0.013556382489096378,0.15045270899476884
0.08000000000000006,0.001172180167869887,0.01389912380686798,0.15021678835542307
0.08100000000000006,0.0012159491548101797,0.014246062375891988,0.14997824964732376
0.08200000000000006,0.0012607663999238488,0.014597194168159475,0.1497371052977142
