K,G,Rho,RSS
373981.6209505603,1.8485919406272393,-11.7720,0.09867912068318083
0.34056576252855564,1.3354533321504343,-6.8641,
0.0017649970672523633,1.002496127574712,-4.2205,
340.0320488034904,2.2546726199881117,,
